"","SES_mblv","SES_tl_0","SES_tl_2","SES_it","SES_headw","SES_eyel","SES_thairl","SES_tibial"
"SIDI1500",0.818685726941826,0,0,0.517050730556977,-0.686671482457388,-0.538248592073729,-0.59299125828634,-0.746922373587374
"pland.ag.1500",0,-0.926264625428923,0.847545388722736,0,0,0,0,0
"pland.ur.1500",0,0.931702220443557,-0.951782266039978,0,0,0.52038598367272,0,0
"pland.nat.1500",0.652637187666111,0,0.643824166243906,0.674322080720341,-0.907860491484159,-0.83283701906094,-0.773325985833445,-0.582411435872729
"lpi.for.1500",0.709445507389427,0,0,0.65609751155522,-0.881113738268909,-0.786855565022724,-0.752432046750366,-0.636926800278889
"ed.for.1500",0.696494128226378,0,0.589803385879356,0.683728732791369,-0.919493084203202,-0.833497508661147,-0.784116690447594,-0.623332367220684
