"","comp1","comp2"
"SES_mblv",-0.425786556949249,0.181212019512684
"SES_tl_0",0.0566214443601139,0.640011824449219
"SES_tl_2",-0.144797138536422,-0.57807088890756
"SES_it",-0.325163860971053,-0.0811618976056973
"SES_headw",0.493902311763137,0.0614546056066962
"SES_eyel",0.458609368635023,0.1913103102871
"SES_thairl",0.369477460888379,-0.188969033117499
"SES_tibial",0.31309173013772,-0.375111001537143
