,grich,fcover,blooms
AT,,5,
BST,10,22.9,2552
CA,,3.3,
CE,5,9.7,259.3
CH,6.7,10.4,302.6
CM,7,11.1,455.3
CG,4,7.2,186
EP,,5.6,
HW,,12.2,
LP,9,10.6,245.6
MR,3.7,10.3,720.3
MAP,8,9.6,1119.6
NS,5.7,15,417
PB,1.3,6,170.6
SC,3.7,6.9,60.3
SPR,3.7,7.1,168
SYP,8.3,11.8,330.3
WIS,2.7,5.1,116.3
WW,6.7,12.4,444
WI,3.3,7.1,205.3
