species,it,wingmc,rwingmc,wingw,rwingw,wingl,rwingl,headw,rheadw,eyew,reyew,eyel,reyel,scapel,rscapel,thairl,bsetael,btl,rbtl,btw,rbtw,wt
B.bimaculatus,3.8,3.1,0.82,4.9,1.29,12.97,3.41,4,1.05,1,0.26,2.7,0.71,1.9,0.5,1.57,1.58,4.5,1.18,1.6,0.42,71.6
B.bimaculatus,3.3,2.9,0.88,4.6,1.39,11.56,3.5,3.6,1.09,0.9,0.27,2.4,0.73,1.85,0.56,1.22,1.18,4,1.21,1.3,0.39,43.6
B.bimaculatus,3.6,3.1,0.86,4.9,1.36,12.19,3.39,3.8,1.06,1.05,0.29,2.6,0.72,1.8,0.5,1.4,1.43,4.4,1.22,1.6,0.44,69
B.borealis,3.7,2.9,0.78,4.2,1.14,11.41,3.08,3.6,0.97,0.9,0.24,2.3,0.62,1.7,0.46,1.45,1.18,3.8,1.03,1.3,0.35,73.7
B.borealis,3.7,3,0.81,4.5,1.22,11.72,3.17,3.8,1.03,1,0.27,2.4,0.65,1.9,0.51,1.33,1.3,4.2,1.14,1.45,0.39,74.9
B.borealis,3.1,2.7,0.87,4.2,1.35,11.25,3.63,3.7,1.19,0.9,0.29,2.3,0.74,1.8,0.58,1.37,1.18,4.4,1.42,1.4,0.45,75.6
B.borealis,3.2,2.6,0.81,4.1,1.28,10.78,3.37,3.6,1.13,0.9,0.28,2.2,0.69,1.7,0.53,1.27,1.2,3.8,1.19,1.2,0.38,69.7
B.borealis,3.1,2.7,0.87,4.1,1.32,10.31,3.33,3.4,1.1,0.8,0.26,2.3,0.74,1.6,0.52,1.1,1.17,4,1.29,1.2,0.39,49.9
B.borealis,3.4,2.6,0.76,4.3,1.26,10.63,3.13,3.5,1.03,0.9,0.26,2.3,0.68,1.6,0.47,1.2,1.13,3.4,1,1.2,0.35,45.6
B.borealis,3.6,2.8,0.78,4.1,1.14,11.25,3.13,3.6,1,0.9,0.25,2.2,0.61,1.8,0.5,1.17,1.17,4.4,1.22,1.5,0.42,70.3
B.borealis,3.6,2.8,0.78,4.3,1.19,11.41,3.17,3.6,1,0.9,0.25,2.3,0.64,1.75,0.49,1.23,1.28,4.3,1.19,1.4,0.39,78.5
B.borealis,3.6,2.8,0.78,4.4,1.22,11.56,3.21,3.7,1.03,0.9,0.25,2.4,0.67,1.7,0.47,1.3,1.27,4.2,1.17,1.5,0.42,93.9
B.borealis,3.8,3,0.79,4.6,1.21,11.88,3.13,3.8,1,0.9,0.24,2.5,0.66,1.8,0.47,1.33,1.17,4.2,1.11,1.5,0.39,87.8
B.fervidus,3.4,2.7,0.79,4.3,1.26,11.56,3.4,3.6,1.06,0.85,0.25,2.4,0.71,1.6,0.47,1.47,1.07,3.9,1.15,1.2,0.35,56.7
B.fervidus,3.8,2.8,0.74,4.5,1.18,11.72,3.08,3.7,0.97,0.9,0.24,2.5,0.66,1.6,0.42,1.4,1.23,3.9,1.03,1.3,0.34,76.6
B.fervidus,3.9,2.8,0.72,4.4,1.13,11.88,3.05,3.7,0.95,1,0.26,2.5,0.64,1.7,0.44,1.4,1.1,4.1,1.05,1.3,0.33,65.1
B.fervidus,3.8,2.9,0.76,4.5,1.18,11.72,3.08,3.9,1.03,1,0.26,2.5,0.66,1.8,0.47,1.37,1.33,4.1,1.08,1.4,0.37,68.1
B.fervidus,3.9,3.1,0.79,4.6,1.18,12.5,3.21,4,1.03,1.1,0.28,2.6,0.67,1.9,0.49,1.13,1.43,4.3,1.1,1.5,0.38,108
B.fervidus,3.4,3,0.88,4.7,1.38,11.72,3.45,3.8,1.12,1,0.29,2.5,0.74,1.7,0.5,1.43,1.38,4.1,1.21,1.4,0.41,89.8
B.fervidus,3.5,3,0.86,4.4,1.26,11.09,3.17,3.6,1.03,1,0.29,2.4,0.69,1.7,0.49,1.23,1.17,4,1.14,1.4,0.4,64.2
B.fervidus,3.8,2.9,0.76,4.35,1.14,11.64,3.06,3.7,0.97,0.9,0.24,2.4,0.63,1.6,0.42,1.23,1.3,4.1,1.08,1.5,0.39,70.9
B.fervidus,3.6,2.9,0.81,4.5,1.25,11.09,3.08,3.65,1.01,0.9,0.25,2.35,0.65,1.7,0.47,1.3,1.07,3.9,1.08,1.4,0.39,62.4
B.fervidus,3.8,3,0.79,4.8,1.26,12.97,3.41,4,1.05,1,0.26,2.7,0.71,1.9,0.5,1.3,1.23,4.3,1.13,1.6,0.42,93.9
B.terricola,3.6,3.6,1,5.3,1.47,13.59,3.78,4.3,1.19,1,0.28,2.6,0.72,1.8,0.5,1.83,1.8,4.8,1.33,1.3,0.36,109.4
B.terricola,3.4,2.4,0.71,3.7,1.09,9.53,2.8,3.4,1,0.9,0.26,2.2,0.65,1.55,0.46,1.3,1.07,3.1,0.91,1,0.29,48.2
B.terricola,4.2,3.3,0.79,4.9,1.17,12.34,2.94,4.2,1,1,0.24,2.7,0.64,1.9,0.45,1.4,1.13,4.5,1.07,1.3,0.31,146.9
B.terricola,3.6,2.9,0.81,4.3,1.19,12.19,3.39,3.8,1.06,0.85,0.24,2.4,0.67,1.85,0.51,1.2,1.3,4.2,1.17,1.3,0.36,74.9
B.terricola,3.5,2.9,0.83,4.4,1.26,11.48,3.28,3.75,1.07,0.9,0.26,2.45,0.7,1.7,0.49,1.27,1.23,4.3,1.23,1.3,0.37,57.7
B.ternarius,3.5,2.7,0.77,3.9,1.11,10.31,2.95,3.5,1,0.9,0.26,2.4,0.69,1.75,0.5,1.43,1.23,3.8,1.09,1.3,0.37,93.6
B.ternarius,3,2.5,0.83,3.7,1.23,9.77,3.26,3.25,1.08,0.85,0.28,2.2,0.73,1.8,0.6,1.5,1.17,3.6,1.2,1.2,0.4,40.5
B.ternarius,2.9,2.4,0.83,3.9,1.34,10,3.45,3.3,1.14,0.8,0.28,2.2,0.76,1.5,0.52,1.37,1.33,3.6,1.24,1.3,0.45,40.5
B.ternarius,3.2,2.4,0.75,4,1.25,9.69,3.03,3.4,1.06,0.9,0.28,2.25,0.7,1.6,0.5,1.33,1.23,3.7,1.16,1.3,0.41,53.7
