"","SES_qblv","SES_mblv","SES_wblv","SES_tl_0","SES_tl_1","SES_tl_2","SES_nest0","SES_nest2","SES_it","SES_wingl","SES_headw","SES_eyel","SES_thairl","SES_setael","SES_tibial","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne","SES_falpha","SES_pbsor","SES_pbsim","SES_pbsne","trmt"
"AT",-0.38130143122004,-0.822272204092152,1.40747999424885,1.2525306413267,0.0898029684940384,-1.26408607863501,0.00598814034592526,-0.00598814034592449,-1.00583943985129,0.326440908243469,1.21786175047152,1.3542495077318,1.35773524712007,-0.646995407935844,0.712097754224235,-0.471431749674238,-0.502660903703026,0.648168359263492,-0.602659882456074,-0.512439747023738,-0.298163311423875,-0.950670141686238,1.26555661404819,0.294929998236476,1.83539071515132,"Urban"
"BST",0.0226379770945829,-1.08860760868617,-1.82145663262976,0.0254768412122519,0.0952985261261305,-0.044119323104331,-0.770028392072549,0.770028392072549,-0.948031660973486,-0.616132183323219,0.38258536358157,-0.457459369710498,-0.488287217461182,-0.886659470276389,0.693328094095782,0.702820652084474,0.680538817620603,-0.437687373216996,-0.110154618841498,-0.132475696236091,-0.018373848056485,0.715068002146036,2.40805189453368,1.97932745888488,1.83595884701767,"Agriculture"
"CA",0.754969720707464,1.46478358457499,0.265742635660455,1.29761192192648,-1.19550192190696,-0.201455539348841,1.49708407955623,-1.49708407955623,1.34219691443728,-0.828434380673264,-1.37051289829012,-1.08988604297202,-1.52855518596064,-1.16320176770914,-1.33091254034056,0.0297380227768696,-0.0593420518931119,0.296539429291442,1.06319550713618,-0.478385628167701,1.05309342224213,1.35790228412169,0.0769537483212289,0.219298504140626,-0.0961516321770186,"Urban"
"CE",-0.617680070174213,-0.376486204366917,0.460437196947517,-0.0302775063815671,0.127516316487288,-0.0042835665610176,-0.78245244973347,0.782452449733471,-0.560357560268572,-0.733908014940926,0.0548082542272137,-0.0224193138015124,0.174016720907917,-0.777970889188048,-0.421457065719453,-0.852843588066165,-0.833908089736746,0.6109352167806,-0.821355218842543,-0.514967531782214,-0.758834093485949,-0.551520334700876,0.525711807614976,-0.22170573641187,2.36994015616308,"Urban"
"CH",-0.627860597438652,-0.378420807871146,0.427624602127462,-0.0171366270620981,0.123404389214598,-0.0148918922387594,-0.78069650421887,0.78069650421887,-0.571662169129348,-0.727332141268394,0.0418055241758527,-0.0390362579215315,0.193326411038019,-0.759996446839074,-0.447576578109861,-0.846834096869031,-0.829665047359806,0.609240199949215,-0.812828815379782,-0.502998222197786,-0.787485949605374,-0.52065896230432,0.561241550731832,-0.208848617949161,2.35118935632248,"Urban"
"CM",0.543936645836976,0.977814291670874,0.0507028837587397,1.21488370777577,0.0447661705764339,-1.21565487859879,2.04120843963657,-2.04120843963657,0.798028173132582,1.21384763438523,0.0783439664206166,0.676247022534331,0.338081713627657,1.55423096201212,0.218412466405325,0.741261835632789,0.748633227741357,-0.740933591690271,-0.602672738910205,-0.52122615865923,-0.323216181530612,1.70978428457109,2.84064980720766,2.36060717114732,1.48421603807008,"Agriculture"
"CG",-0.251507782200394,0.760659539151372,0.80581452794676,0.580527097133016,0.054854654583865,-0.585148571273456,0.851271100367278,-0.851271100367278,0.622691751545237,0.570395698351747,-0.143406686308341,0.466854947226979,0.459248141741766,0.792402806753429,-0.489681419748494,-0.72770049710089,-0.723599406638149,0.657606876453419,-1.3438679963454,-0.310267035687452,-1.04865274201216,0.466715304740483,1.74727821978518,-0.192407993608231,2.29960668124712,"Agriculture"
"EP",0.59194093375475,0.302107452010775,0.513540376462537,0.0432203732579134,0.340712195090934,-0.36760552481418,0.448003517619079,-0.448003517619079,0.484129498462142,0.251532388576985,-0.140658444963861,0.329382075931149,-0.494557635200155,0.204360359874874,0.0108374430059135,-0.564297751887986,-0.608937860154632,0.834275391454333,-0.38827522870746,-0.711123989819207,0.0297830309325765,0.230846822206272,0.742336167609732,-0.344732228442197,1.69584732901123,"Urban"
"HW",2.09557299214485,1.28704250984386,-0.142528310719533,-2.1438392274923,0.127516316487288,2.07308203092178,1.16257007106435,-1.16257007106435,2.3430069570062,1.65015314879326,-1.27625415871454,-1.13701868885457,-1.76838864673614,1.74416519779287,0.187437756415106,0.985384541941033,0.963843123237728,-0.698679662993506,0.970933570144861,-0.446294910992974,2.28406751721973,-0.16032763386023,2.37521221700258,1.50200739965306,3.1136944329266,"Agriculture"
"LP",-0.583775475338156,0.236166148880045,-0.277302394822498,0.656238301976216,0.163385224946148,-0.696895220436205,-0.196204371835987,0.196204371835988,-0.460260936309187,-0.714709557374022,-0.219563936687881,0.047568244226512,0.0518520445256043,-0.451478854504544,-0.603367469367953,-0.666717359363535,-0.670581760386376,0.666951735646634,-0.855025777779804,-0.509641421162013,-0.75819100938059,0.678264292598636,0.726785761540039,-0.340971978253137,2.77297628797805,"Urban"
"MR",1.18586467948097,-0.00717226736406682,-1.1645309639695,0.562040044428496,0.0447661705764761,-0.565122071845426,0.791459517047321,-0.791459517047321,0.0977893052582284,0.715118173947165,0.267273507194972,0.0860323733572756,-0.291701756813404,0.580931754068183,0.999860537040401,2.0452849894718,2.07108335880272,-2.03689218739058,-0.0913333852948659,-0.706706649200561,0.505313210544731,2.09714933568557,3.87954805631933,3.5969623822436,1.65365550361692,"Urban"
"MAP",-0.573190923622929,0.216738140727817,-0.223191947312437,0.688253938111296,0.19601795433847,-0.759192161779432,-0.190351463765485,0.190351463765487,-0.467341677297318,-0.726561947285385,-0.174891989335287,0.132987403989831,0.0909488325968712,-0.412070451640094,-0.602948677547312,-0.707693292988671,-0.711314187256889,0.704594664854405,-0.888340262958566,-0.530263416239473,-0.744577803206776,0.684893891479624,0.694162946049777,-0.362640598799124,2.87525049204598,"Urban"
"NS",-0.396314715382216,0.939943110225865,-0.417417037447241,-0.72296630284716,0.0898029684940384,0.702463150700103,-0.0115477702464144,0.0115477702464144,0.84530612583732,-0.599008962350489,-1.10119160475288,-0.910343885225553,-0.812678210772651,0.474845928287094,-1.14371579239649,-0.72036945791264,-0.707327451603142,0.582256521415898,-1.14615435733038,-0.484971647941928,-1.07696432323923,0.586284427687243,1.3031210589622,-0.0525647576160462,2.37259377350472,"Urban"
"PB",-0.435358530640182,-2.39876210171337,0.476529518141134,-2.71303274829059,0.327766923608292,2.94793510602769,-2.03258919486588,2.03258919486588,-0.838201705907515,1.1134605330712,1.51017468927968,-0.259451868841449,1.57510902935719,0.348718952629842,1.71496793252159,1.61636641748837,1.64005183677264,-1.70054157815649,-0.66960384297588,-0.350705973045284,-0.400472391034119,-3.52171712427091,3.45442859478813,3.26775713394448,0.641796897920798,"Agriculture"
"SC",1.6312512499035,-0.643846561936043,2.12103120069113,0.752450601333938,0.163385224946148,-0.798575357562906,2.15206629665486,-2.15206629665486,0.523542939704761,2.30854833447565,2.65145223192507,3.20985912958309,0.728340898088106,1.32306472363704,2.36728532683075,1.3384115006559,1.33265564197918,-1.20304181020099,1.35606751386623,1.92290816931764,0.255001274291684,-0.987211344674039,2.7139265214718,2.36578383844374,1.28253424034003,"Urban"
"SPR",1.1326388923535,-0.704374971022837,1.23858803440572,-1.35619627060986,0.219591230360318,1.22441319182039,-0.236497008764286,0.236497008764287,0.633180240133054,0.844751865757601,0.247738188605515,-0.12257833933558,-0.593825549776101,0.0278607663713535,0.708708498488751,0.14823072678043,0.14488614260328,-0.108021689844748,0.278771465328417,-0.467654351360118,0.825643068243947,-1.48568939151015,1.16838920839862,0.696526784073111,1.43976533844341,"Agriculture"
"SYP",-0.61733644261921,0.186682996848677,-0.299511938693768,0.67268761533049,0.236578292595556,-0.774482107831275,-0.262285632043835,0.262285632043835,-0.511544458103099,-0.759821389819229,-0.177914836059986,0.0959686009933614,0.106420191634872,-0.438960254841664,-0.571949754041985,-0.720455425787316,-0.724273599255396,0.720986116218878,-0.927162539225606,-0.544735491092214,-0.792048407031617,0.696345412486869,0.646827521331424,-0.395233180554705,2.86431949992899,"Urban"
"WIS",-0.643053377497121,-0.309678068121613,0.37667036532636,-0.0902220479258165,0.114766660649087,0.0621370655453132,-0.802420863395198,0.802420863395198,-0.519617356799071,-0.753537867071055,-0.0696940510809071,-0.136693213801783,0.0971834863661078,-0.755364562836704,-0.534071938557232,-0.892017164896872,-0.873285305306463,0.635450490196758,-0.835750449509185,-0.516046391116327,-0.770020879693378,-0.520215879818482,0.470161036203794,-0.261168223331134,2.40587148843155,"Urban"
"WW",-0.228805244782348,0.0567818949851469,-1.54957183452852,-1.6340497691502,0.054854654583865,1.6217558108704,-1.15445948475275,1.15445948475275,0.193095431613911,-1.47819280731972,-1.29917729951654,-1.75292884046395,-1.61944258862874,-0.537947897695464,-0.856865723930045,-0.0350343731574133,-0.0698656455922963,0.206131296557589,-0.696402681678582,0.265871947514438,-0.90529152000167,-0.112406582633391,2.21248878250871,0.508942927958152,2.28357056139029,"Agriculture"
"WI",-1.97861545069919,-1.27342534163994,-1.5081245032455,0.00828896533266007,0.340712195090934,-0.346172040636574,-1.91194041266777,1.91194041266777,-2.03217352476536,-1.27837613883211,0.898976706739902,0.114361383280454,1.98862107930518,-0.222021822700683,0.372780307361071,0.589863119989364,0.53766342245127,-0.219055819763955,-2.01152276463778,-0.29837114249595,-1.61162959684461,0.137183980976015,2.29168146448797,0.777224483457536,2.4753659193016,"Agriculture"
